Tới: Phòng Điều hành TTĐ  ,,,,Từ: Phòng 
Trung tâm Điều độ HTĐ Quốc gia
Tel: 04 39276162 - Fax: 04 39276164,,,,Tel:          - Fax:  
Email: kehoachvanhanh_ttd@nldc.evn.vn,,,,Email:  

BÁO CÁO VẬN HÀNH NGÀY

Đơn vị công bố:,Nhà máy điện gió Hòa Đông


Chu kỳ,T1 (MW)
1,0.7338565466621448
2,0.7338565466621448
3,0.7338565466621448
4,1.7410186790741948
5,1.7410186790741948
6,1.7410186790741948
7,3.1192113944051316
8,3.1192113944051316
9,3.1192113944051316
10,2.1093772864788467
11,2.1093772864788467
12,2.1093772864788467
13,0
14,0
15,0
16,0
17,0
18,0
19,2.513290805944917
20,2.513290805944917
21,2.513290805944917
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,6.1372211406623505
38,6.1372211406623505
39,6.1372211406623505
40,0
41,0
42,0
43,0
44,0
45,0
46,2.668291077587455
47,2.668291077587455
48,2.668291077587455
A ngày (MWh),57.06680079244511
